string1,string2,match
AMD Inc,Boston Dynamics,0
Moderna Inc,Moderna Inc,1
Apple Inc,Apple Inc,1
Amazon.com,Amazon.com,1
John Smith,John Smith,1
New York City,Amazon.com,0
Harvard University,Massachusetts Institute of Technology,0
Google LLC,Jane Doe,0
Amazon.com,Amazon.com,1
Goldman Sachs,Goldman Sachs,1
Facebook Meta,Facebook Meta,1
Uber Technologies,Snapchat,0
Tesla Energy,Accenture,0
Facebook Meta,Uber Technologies,0
Harvard University,Samsung Electronics,0
Samsung Electronics,Samsung Electronics,1
Harvard University,Citibank,0
Airbnb,Google LLC,0
Massachusetts Institute of Technology,JP Morgan Chase,0
Intel Corporation,Intel Corporation,1
Citibank,John Smith,0
AMD Inc,Siemens,0
Tesla Energy,YouTube Videos,0
Snapchat,Snapchat,1
Boston Dynamics,Snapchat,0
Twitter,Samsung Electronics,0
Elon Musk,Elon Musk,1
Elon Musk,Elon Musk,1
Adobe Systems,Adobe Systems,1
Raytheon Technologies,Raytheon Technologies,1
Intel Corporation,Airbnb,0
Intel Corporation,Intel Corporation,1
Johnson & Johnson,Johnson & Johnson,1
Boston Consulting Group,Johnson & Johnson,0
Snapchat,Snapchat,1
Oracle Corporation,Blue Origin,0
Moderna Inc,Moderna Inc,1
International Business Machines,International Business Machines,1
Samsung Electronics,Samsung Electronics,1
Intel Corporation,Intel Corporation,1
Intel Corporation,Intel Corporation,1
Goldman Sachs,Goldman Sachs,1
YouTube Videos,McKinsey & Company,0
Lockheed Martin,YouTube Videos,0
McKinsey & Company,McKinsey & Company,1
Moderna Inc,Moderna Inc,1
PayPal,NASA,0
Harvard University,SpaceX,0
Adobe Systems,SpaceX,0
Harvard University,Tesla Energy,0
Citibank,International Business Machines,0
SpaceX,SpaceX,1
Snapchat,Snapchat,1
AMD Inc,AMD Inc,1
Citibank,PayPal,0
Wall Street,Wall Street,1
McKinsey & Company,McKinsey & Company,1
Twitter,Snapchat,0
Pfizer Pharmaceuticals,YouTube Videos,0
Netflix Streaming,Accenture,0
Amazon.com,Amazon.com,1
Snapchat,Raytheon Technologies,0
Boston Consulting Group,Wall Street,0
Raytheon Technologies,Raytheon Technologies,1
Goldman Sachs,Goldman Sachs,1
Jane Doe,Jane Doe,1
Moderna Inc,SpaceX,0
Berkshire Hathaway,Berkshire Hathaway,1
John Smith,John Smith,1
Boeing,Boeing,1
Citibank,Citibank,1
Adobe Systems,Adobe Systems,1
Blue Origin,Blue Origin,1
Morgan Stanley,Airbnb,0
Deloitte Consulting,Deloitte Consulting,1
Adobe Systems,California Institute of Technology,0
Harvard University,Citibank,0
Moderna Inc,Apple Inc,0
Deloitte Consulting,Morgan Stanley,0
Lockheed Martin,Lockheed Martin,1
Berkshire Hathaway,Berkshire Hathaway,1
PayPal,Snapchat,0
PayPal,PayPal,1
Apple Inc,Apple Inc,1
Tesla Motors,Boston Consulting Group,0
Accenture,California Institute of Technology,0
Facebook Meta,Facebook Meta,1
AMD Inc,AMD Inc,1
Samsung Electronics,Tesla Motors,0
YouTube Videos,Raytheon Technologies,0
Wall Street,NASA,0
Accenture,Oracle Corporation,0
Pfizer Pharmaceuticals,Lyft Inc,0
Deloitte Consulting,Deloitte Consulting,1
Space Exploration Technologies,Space Exploration Technologies,1
Boeing,Lyft Inc,0
California Institute of Technology,California Institute of Technology,1
Tesla Motors,Tesla Motors,1
Elon Musk,Elon Musk,1
Massachusetts Institute of Technology,Siemens,0
Boston Dynamics,Facebook Meta,0
Jane Doe,Jane Doe,1
Wall Street,Wall Street,1
International Business Machines,Cisco Systems,0
Tesla Motors,California Institute of Technology,0
Spotify,Spotify,1
Snapchat,Google LLC,0
Accenture,Harvard University,0
Amazon.com,Space Exploration Technologies,0
Accenture,International Business Machines,0
Amazon.com,Amazon.com,1
Cisco Systems,Johnson & Johnson,0
JP Morgan Chase,AMD Inc,0
YouTube Videos,YouTube Videos,1
Siemens,Goldman Sachs,0
Google LLC,Google LLC,1
Harvard University,Siemens,0
Apple Inc,Apple Inc,1
Spotify,Adobe Systems,0
Johnson & Johnson,Intel Corporation,0
Intel Corporation,Intel Corporation,1
Microsoft Corporation,Microsoft Corporation,1
Berkshire Hathaway,New York City,0
Harvard University,Harvard University,1
Boston Dynamics,JP Morgan Chase,0
Lockheed Martin,Cisco Systems,0
Siemens,Elon Musk,0
Microsoft Corporation,Microsoft Corporation,1
General Electric,General Electric,1
Airbnb,California Institute of Technology,0
Harvard University,Morgan Stanley,0
Tesla Motors,New York City,0
JP Morgan Chase,Boston Dynamics,0
Facebook Meta,Facebook Meta,1
Boston Consulting Group,Blue Origin,0
Citibank,Space Exploration Technologies,0
Tesla Energy,McKinsey & Company,0
Apple Inc,Moderna Inc,0
New York City,Massachusetts Institute of Technology,0
Morgan Stanley,Morgan Stanley,1
International Business Machines,Samsung Electronics,0
New York City,New York City,1
Uber Technologies,Raytheon Technologies,0
Netflix Streaming,NASA,0
McKinsey & Company,Adobe Systems,0
Moderna Inc,Moderna Inc,1
Lyft Inc,Lyft Inc,1
Raytheon Technologies,Raytheon Technologies,1
Uber Technologies,Intel Corporation,0
Google LLC,Google LLC,1
Massachusetts Institute of Technology,Massachusetts Institute of Technology,1
Deloitte Consulting,Deloitte Consulting,1
Twitter,Twitter,1
Samsung Electronics,Samsung Electronics,1
Samsung Electronics,Lockheed Martin,0
Uber Technologies,Uber Technologies,1
Blue Origin,McKinsey & Company,0
Jane Doe,Snapchat,0
Deloitte Consulting,Boston Consulting Group,0
Blue Origin,Blue Origin,1
Oracle Corporation,Oracle Corporation,1
Google LLC,Google LLC,1
Boeing,Deloitte Consulting,0
Harvard University,Harvard University,1
Amazon.com,Amazon.com,1
Amazon.com,Amazon.com,1
McKinsey & Company,McKinsey & Company,1
Space Exploration Technologies,Space Exploration Technologies,1
Snapchat,Snapchat,1
McKinsey & Company,Goldman Sachs,0
Netflix Streaming,Netflix Streaming,1
SpaceX,SpaceX,1
Goldman Sachs,Goldman Sachs,1
Netflix Streaming,Netflix Streaming,1
Adobe Systems,Airbnb,0
Cisco Systems,Cisco Systems,1
Intel Corporation,Accenture,0
NASA,Blue Origin,0
Pfizer Pharmaceuticals,Pfizer Pharmaceuticals,1
McKinsey & Company,McKinsey & Company,1
Apple Inc,Apple Inc,1
McKinsey & Company,McKinsey & Company,1
Oracle Corporation,Massachusetts Institute of Technology,0
McKinsey & Company,McKinsey & Company,1
Elon Musk,Elon Musk,1
Uber Technologies,JP Morgan Chase,0
Jane Doe,AMD Inc,0
Goldman Sachs,Microsoft Corporation,0
Jane Doe,Jane Doe,1
Accenture,Accenture,1
Wall Street,Massachusetts Institute of Technology,0
McKinsey & Company,McKinsey & Company,1
General Electric,Intel Corporation,0
Netflix Streaming,Netflix Streaming,1
Lyft Inc,Massachusetts Institute of Technology,0
Boston Consulting Group,McKinsey & Company,0
Facebook Meta,Facebook Meta,1
Deloitte Consulting,Lyft Inc,0
Moderna Inc,Moderna Inc,1
PayPal,Boston Dynamics,0
PayPal,PayPal,1
Snapchat,Snapchat,1
Snapchat,Snapchat,1
Spotify,Pfizer Pharmaceuticals,0
AMD Inc,Deloitte Consulting,0
Elon Musk,Elon Musk,1
Wall Street,Snapchat,0
PayPal,Oracle Corporation,0
International Business Machines,Blue Origin,0
Pfizer Pharmaceuticals,Pfizer Pharmaceuticals,1
Oracle Corporation,Oracle Corporation,1
Uber Technologies,Accenture,0
Pfizer Pharmaceuticals,AMD Inc,0
Blue Origin,Harvard University,0
Space Exploration Technologies,General Electric,0
Siemens,Blue Origin,0
Accenture,General Electric,0
McKinsey & Company,McKinsey & Company,1
McKinsey & Company,Adobe Systems,0
Google LLC,Google LLC,1
Berkshire Hathaway,Siemens,0
Lyft Inc,Spotify,0
Deloitte Consulting,Deloitte Consulting,1
Tesla Energy,Tesla Energy,1
PayPal,PayPal,1
Twitter,Twitter,1
Moderna Inc,Apple Inc,0
Wall Street,Wall Street,1
Cisco Systems,Cisco Systems,1
Cisco Systems,Space Exploration Technologies,0
SpaceX,Facebook Meta,0
Tesla Motors,Tesla Motors,1
Goldman Sachs,Goldman Sachs,1
Lyft Inc,Lyft Inc,1
Boston Consulting Group,Berkshire Hathaway,0
Adobe Systems,Adobe Systems,1
Netflix Streaming,Airbnb,0
Citibank,McKinsey & Company,0
Accenture,Accenture,1
PayPal,PayPal,1
Google LLC,Google LLC,1
Adobe Systems,Adobe Systems,1
Samsung Electronics,Jane Doe,0
Moderna Inc,Moderna Inc,1
Uber Technologies,NASA,0
Snapchat,Snapchat,1
Twitter,General Electric,0
Netflix Streaming,Morgan Stanley,0
PayPal,PayPal,1
Accenture,McKinsey & Company,0
Apple Inc,Apple Inc,1
Adobe Systems,General Electric,0
California Institute of Technology,Amazon.com,0
Netflix Streaming,SpaceX,0
Moderna Inc,Moderna Inc,1
Airbnb,Airbnb,1
Harvard University,Harvard University,1
Moderna Inc,Massachusetts Institute of Technology,0
Cisco Systems,Cisco Systems,1
John Smith,Siemens,0
Elon Musk,Facebook Meta,0
Lockheed Martin,New York City,0
Jane Doe,Google LLC,0
Jane Doe,Jane Doe,1
Samsung Electronics,Adobe Systems,0
Intel Corporation,Intel Corporation,1
Space Exploration Technologies,Space Exploration Technologies,1
General Electric,Raytheon Technologies,0
YouTube Videos,Uber Technologies,0
Apple Inc,Citibank,0
Adobe Systems,Facebook Meta,0
Tesla Energy,Adobe Systems,0
Goldman Sachs,Goldman Sachs,1
Spotify,Spotify,1
JP Morgan Chase,JP Morgan Chase,1
Boston Consulting Group,Boston Consulting Group,1
International Business Machines,International Business Machines,1
Lyft Inc,Oracle Corporation,0
Boston Consulting Group,Boston Consulting Group,1
Blue Origin,Blue Origin,1
SpaceX,Moderna Inc,0
Harvard University,Google LLC,0
Boeing,Intel Corporation,0
Massachusetts Institute of Technology,Lyft Inc,0
Lyft Inc,Lyft Inc,1
John Smith,John Smith,1
Goldman Sachs,Boston Dynamics,0
Google LLC,Google LLC,1
NASA,Lyft Inc,0
Twitter,NASA,0
Raytheon Technologies,Raytheon Technologies,1
John Smith,John Smith,1
Accenture,Accenture,1
SpaceX,SpaceX,1
Boeing,Boeing,1
YouTube Videos,Citibank,0
Apple Inc,Cisco Systems,0
Accenture,Apple Inc,0
Morgan Stanley,Morgan Stanley,1
SpaceX,SpaceX,1
Harvard University,New York City,0
YouTube Videos,YouTube Videos,1
Blue Origin,Accenture,0
Boston Consulting Group,Boston Consulting Group,1
Elon Musk,JP Morgan Chase,0
Apple Inc,Elon Musk,0
YouTube Videos,Samsung Electronics,0
Raytheon Technologies,Tesla Energy,0
Goldman Sachs,Microsoft Corporation,0
Spotify,PayPal,0
Siemens,Siemens,1
Berkshire Hathaway,Morgan Stanley,0
AMD Inc,McKinsey & Company,0
Google LLC,Google LLC,1
Samsung Electronics,Samsung Electronics,1
Berkshire Hathaway,Berkshire Hathaway,1
Tesla Energy,Facebook Meta,0
Adobe Systems,Adobe Systems,1
Netflix Streaming,Netflix Streaming,1
NASA,Adobe Systems,0
YouTube Videos,Netflix Streaming,0
Johnson & Johnson,Johnson & Johnson,1
New York City,New York City,1
Berkshire Hathaway,Tesla Energy,0
Wall Street,Wall Street,1
Citibank,Citibank,1
YouTube Videos,John Smith,0
Raytheon Technologies,Raytheon Technologies,1
Airbnb,JP Morgan Chase,0
Intel Corporation,Intel Corporation,1
Intel Corporation,Intel Corporation,1
YouTube Videos,YouTube Videos,1
AMD Inc,AMD Inc,1
Lockheed Martin,Lockheed Martin,1
Apple Inc,AMD Inc,0
International Business Machines,International Business Machines,1
AMD Inc,Morgan Stanley,0
Morgan Stanley,Morgan Stanley,1
Adobe Systems,Adobe Systems,1
Siemens,Siemens,1
Siemens,Morgan Stanley,0
NASA,NASA,1
Harvard University,Morgan Stanley,0
Deloitte Consulting,Berkshire Hathaway,0
Lockheed Martin,Cisco Systems,0
John Smith,McKinsey & Company,0
Wall Street,Wall Street,1
JP Morgan Chase,Lockheed Martin,0
NASA,NASA,1
Morgan Stanley,YouTube Videos,0
Boeing,Wall Street,0
Accenture,Elon Musk,0
Massachusetts Institute of Technology,Massachusetts Institute of Technology,1
Goldman Sachs,Spotify,0
Microsoft Corporation,Adobe Systems,0
International Business Machines,Elon Musk,0
Wall Street,General Electric,0
Elon Musk,Elon Musk,1
Twitter,Twitter,1
Massachusetts Institute of Technology,Massachusetts Institute of Technology,1
New York City,Adobe Systems,0
Morgan Stanley,Intel Corporation,0
New York City,New York City,1
Intel Corporation,Harvard University,0
Pfizer Pharmaceuticals,Goldman Sachs,0
JP Morgan Chase,Tesla Energy,0
Boston Consulting Group,Boston Consulting Group,1
General Electric,General Electric,1
McKinsey & Company,Snapchat,0
AMD Inc,AMD Inc,1
International Business Machines,International Business Machines,1
Oracle Corporation,Oracle Corporation,1
Berkshire Hathaway,NASA,0
Cisco Systems,Cisco Systems,1
Tesla Energy,Berkshire Hathaway,0
Boeing,Lyft Inc,0
Facebook Meta,Oracle Corporation,0
Intel Corporation,Jane Doe,0
Cisco Systems,Cisco Systems,1
Boeing,Boeing,1
Harvard University,Microsoft Corporation,0
Lockheed Martin,Lockheed Martin,1
Wall Street,Wall Street,1
YouTube Videos,YouTube Videos,1
Blue Origin,Google LLC,0
Blue Origin,Deloitte Consulting,0
Intel Corporation,Intel Corporation,1
Siemens,New York City,0
SpaceX,SpaceX,1
Lyft Inc,John Smith,0
Raytheon Technologies,California Institute of Technology,0
Jane Doe,Jane Doe,1
Berkshire Hathaway,Uber Technologies,0
Deloitte Consulting,Deloitte Consulting,1
Twitter,Airbnb,0
Moderna Inc,Moderna Inc,1
Elon Musk,International Business Machines,0
Snapchat,Snapchat,1
Samsung Electronics,Samsung Electronics,1
Lyft Inc,Lyft Inc,1
Accenture,Accenture,1
Siemens,Siemens,1
Tesla Energy,Tesla Energy,1
AMD Inc,Wall Street,0
Elon Musk,John Smith,0
Goldman Sachs,Wall Street,0
Oracle Corporation,Oracle Corporation,1
Wall Street,Johnson & Johnson,0
New York City,New York City,1
Pfizer Pharmaceuticals,Siemens,0
NASA,Blue Origin,0
SpaceX,SpaceX,1
Adobe Systems,Airbnb,0
McKinsey & Company,McKinsey & Company,1
Spotify,Spotify,1
Apple Inc,Apple Inc,1
Netflix Streaming,Citibank,0
NASA,NASA,1
Blue Origin,Blue Origin,1
SpaceX,Space Exploration Technologies,0
JP Morgan Chase,Elon Musk,0
Airbnb,Airbnb,1
Samsung Electronics,Samsung Electronics,1
Johnson & Johnson,AMD Inc,0
PayPal,Deloitte Consulting,0
Accenture,Boston Consulting Group,0
Tesla Energy,Tesla Energy,1
Tesla Motors,Goldman Sachs,0
Citibank,Twitter,0
Intel Corporation,Intel Corporation,1
Tesla Energy,Tesla Energy,1
Facebook Meta,Facebook Meta,1
Lyft Inc,Airbnb,0
Snapchat,Snapchat,1
Microsoft Corporation,Microsoft Corporation,1
SpaceX,SpaceX,1
Samsung Electronics,Samsung Electronics,1
Elon Musk,Space Exploration Technologies,0
Oracle Corporation,Siemens,0
Elon Musk,Boston Dynamics,0
Tesla Motors,Pfizer Pharmaceuticals,0
Google LLC,Netflix Streaming,0
Twitter,Twitter,1
Raytheon Technologies,Raytheon Technologies,1
Accenture,Accenture,1
Pfizer Pharmaceuticals,Pfizer Pharmaceuticals,1
Apple Inc,Harvard University,0
Boston Consulting Group,Boston Consulting Group,1
YouTube Videos,Raytheon Technologies,0
General Electric,PayPal,0
Amazon.com,Tesla Motors,0
General Electric,General Electric,1
Berkshire Hathaway,Google LLC,0
Netflix Streaming,Snapchat,0
Google LLC,Google LLC,1
Space Exploration Technologies,Blue Origin,0
Airbnb,Twitter,0
Moderna Inc,Moderna Inc,1
AMD Inc,Amazon.com,0
Microsoft Corporation,Cisco Systems,0
Twitter,Blue Origin,0
Moderna Inc,Moderna Inc,1
Facebook Meta,Facebook Meta,1
Google LLC,Google LLC,1
Jane Doe,Jane Doe,1
Jane Doe,Berkshire Hathaway,0
Spotify,Wall Street,0
Boston Consulting Group,Boston Consulting Group,1
General Electric,Wall Street,0
Moderna Inc,Moderna Inc,1
Raytheon Technologies,Raytheon Technologies,1
Space Exploration Technologies,Uber Technologies,0
Tesla Energy,Tesla Energy,1
Amazon.com,Adobe Systems,0
Space Exploration Technologies,Cisco Systems,0
Airbnb,Cisco Systems,0
YouTube Videos,Boeing,0
Morgan Stanley,Morgan Stanley,1
Wall Street,Harvard University,0
Blue Origin,Lockheed Martin,0
Blue Origin,New York City,0
Boston Dynamics,Boston Dynamics,1
Goldman Sachs,John Smith,0
Blue Origin,Tesla Energy,0
PayPal,Lockheed Martin,0
California Institute of Technology,SpaceX,0
Massachusetts Institute of Technology,AMD Inc,0
SpaceX,SpaceX,1
Lockheed Martin,Lockheed Martin,1
Oracle Corporation,Oracle Corporation,1
YouTube Videos,Lockheed Martin,0
McKinsey & Company,Massachusetts Institute of Technology,0
Space Exploration Technologies,Space Exploration Technologies,1
Samsung Electronics,JP Morgan Chase,0
John Smith,Twitter,0
Space Exploration Technologies,Moderna Inc,0
New York City,New York City,1
Oracle Corporation,General Electric,0
Space Exploration Technologies,AMD Inc,0
Lyft Inc,Citibank,0
Airbnb,Airbnb,1
Tesla Energy,Tesla Energy,1
Deloitte Consulting,NASA,0
Samsung Electronics,Samsung Electronics,1
Massachusetts Institute of Technology,Massachusetts Institute of Technology,1
Adobe Systems,Adobe Systems,1
New York City,AMD Inc,0
John Smith,John Smith,1
Google LLC,Google LLC,1
Berkshire Hathaway,Berkshire Hathaway,1
Facebook Meta,Facebook Meta,1
Facebook Meta,Facebook Meta,1
JP Morgan Chase,Goldman Sachs,0
Uber Technologies,Facebook Meta,0
Amazon.com,Samsung Electronics,0
Citibank,Boeing,0
Jane Doe,Oracle Corporation,0
Adobe Systems,PayPal,0
Lockheed Martin,California Institute of Technology,0
Elon Musk,Elon Musk,1
Berkshire Hathaway,Intel Corporation,0
YouTube Videos,YouTube Videos,1
Snapchat,Snapchat,1
Uber Technologies,Uber Technologies,1
Raytheon Technologies,Raytheon Technologies,1
McKinsey & Company,NASA,0
Wall Street,Wall Street,1
New York City,Lyft Inc,0
Cisco Systems,SpaceX,0
Oracle Corporation,Spotify,0
Boston Dynamics,Cisco Systems,0
Boston Consulting Group,Google LLC,0
Facebook Meta,Harvard University,0
Massachusetts Institute of Technology,Massachusetts Institute of Technology,1
Raytheon Technologies,Twitter,0
Elon Musk,Elon Musk,1
Apple Inc,Boeing,0
Boston Consulting Group,Siemens,0
AMD Inc,NASA,0
Elon Musk,Elon Musk,1
Apple Inc,Apple Inc,1
Oracle Corporation,Apple Inc,0
Lyft Inc,Lyft Inc,1
Cisco Systems,Cisco Systems,1
Wall Street,Google LLC,0
Facebook Meta,NASA,0
Apple Inc,Apple Inc,1
SpaceX,Intel Corporation,0
Berkshire Hathaway,Berkshire Hathaway,1
NASA,Spotify,0
Tesla Energy,Raytheon Technologies,0
Pfizer Pharmaceuticals,Pfizer Pharmaceuticals,1
Google LLC,Google LLC,1
Samsung Electronics,California Institute of Technology,0
McKinsey & Company,International Business Machines,0
Adobe Systems,Adobe Systems,1
Snapchat,Snapchat,1
Wall Street,Wall Street,1
AMD Inc,Amazon.com,0
Goldman Sachs,Goldman Sachs,1
Adobe Systems,Adobe Systems,1
Blue Origin,Blue Origin,1
Samsung Electronics,Samsung Electronics,1
Tesla Motors,Tesla Motors,1
Elon Musk,Elon Musk,1
Pfizer Pharmaceuticals,Pfizer Pharmaceuticals,1
Airbnb,Moderna Inc,0
Deloitte Consulting,New York City,0
Samsung Electronics,Citibank,0
Twitter,Twitter,1
SpaceX,SpaceX,1
Deloitte Consulting,Deloitte Consulting,1
Deloitte Consulting,Samsung Electronics,0
Wall Street,Facebook Meta,0
Boston Consulting Group,California Institute of Technology,0
Boston Consulting Group,Boston Consulting Group,1
Adobe Systems,Amazon.com,0
Morgan Stanley,Apple Inc,0
Harvard University,Harvard University,1
Blue Origin,Spotify,0
JP Morgan Chase,JP Morgan Chase,1
Goldman Sachs,Space Exploration Technologies,0
Citibank,Citibank,1
Adobe Systems,Adobe Systems,1
Snapchat,Snapchat,1
Morgan Stanley,SpaceX,0
Google LLC,Google LLC,1
Twitter,Twitter,1
NASA,Lyft Inc,0
Samsung Electronics,Samsung Electronics,1
Tesla Energy,Tesla Energy,1
SpaceX,Cisco Systems,0
Tesla Energy,Tesla Energy,1
Moderna Inc,Airbnb,0
YouTube Videos,YouTube Videos,1
Citibank,Samsung Electronics,0
Boston Dynamics,Boston Dynamics,1
Citibank,Moderna Inc,0
International Business Machines,Goldman Sachs,0
PayPal,Goldman Sachs,0
Pfizer Pharmaceuticals,Pfizer Pharmaceuticals,1
Microsoft Corporation,California Institute of Technology,0
Intel Corporation,Boston Dynamics,0
Snapchat,Snapchat,1
Moderna Inc,Accenture,0
Pfizer Pharmaceuticals,Deloitte Consulting,0
Adobe Systems,Adobe Systems,1
JP Morgan Chase,Moderna Inc,0
International Business Machines,Goldman Sachs,0
Lyft Inc,Accenture,0
Adobe Systems,John Smith,0
Facebook Meta,Facebook Meta,1
Accenture,Accenture,1
Amazon.com,Boeing,0
General Electric,Facebook Meta,0
JP Morgan Chase,John Smith,0
Space Exploration Technologies,Space Exploration Technologies,1
NASA,NASA,1
Siemens,Uber Technologies,0
Boeing,Boeing,1
Johnson & Johnson,General Electric,0
Twitter,McKinsey & Company,0
Airbnb,Airbnb,1
AMD Inc,AMD Inc,1
Boston Consulting Group,Spotify,0
Berkshire Hathaway,Berkshire Hathaway,1
Space Exploration Technologies,Space Exploration Technologies,1
Apple Inc,Apple Inc,1
General Electric,General Electric,1
Oracle Corporation,Tesla Energy,0
Amazon.com,Amazon.com,1
McKinsey & Company,PayPal,0
Siemens,Siemens,1
JP Morgan Chase,Johnson & Johnson,0
Harvard University,Harvard University,1
Samsung Electronics,Samsung Electronics,1
International Business Machines,Boston Dynamics,0
Apple Inc,Harvard University,0
Morgan Stanley,Morgan Stanley,1
Lyft Inc,Siemens,0
Moderna Inc,Moderna Inc,1
Blue Origin,Blue Origin,1
Apple Inc,Apple Inc,1
Tesla Energy,Snapchat,0
AMD Inc,Spotify,0
Johnson & Johnson,Blue Origin,0
Amazon.com,Amazon.com,1
AMD Inc,YouTube Videos,0
Apple Inc,Berkshire Hathaway,0
Tesla Motors,Tesla Motors,1
Wall Street,Wall Street,1
Jane Doe,Jane Doe,1
Boston Consulting Group,Boston Consulting Group,1
Massachusetts Institute of Technology,Boston Consulting Group,0
Siemens,Tesla Motors,0
Boston Consulting Group,Boston Consulting Group,1
AMD Inc,Boeing,0
General Electric,General Electric,1
Netflix Streaming,Netflix Streaming,1
John Smith,John Smith,1
Goldman Sachs,Goldman Sachs,1
Adobe Systems,Adobe Systems,1
Morgan Stanley,Morgan Stanley,1
NASA,NASA,1
Adobe Systems,Adobe Systems,1
Blue Origin,Siemens,0
Space Exploration Technologies,Accenture,0
Jane Doe,Jane Doe,1
JP Morgan Chase,JP Morgan Chase,1
Berkshire Hathaway,Berkshire Hathaway,1
New York City,Lyft Inc,0
PayPal,Google LLC,0
Tesla Motors,Tesla Motors,1
Boston Dynamics,Tesla Motors,0
Raytheon Technologies,Raytheon Technologies,1
AMD Inc,AMD Inc,1
Airbnb,Airbnb,1
John Smith,John Smith,1
Netflix Streaming,Netflix Streaming,1
Jane Doe,Jane Doe,1
JP Morgan Chase,JP Morgan Chase,1
Amazon.com,Amazon.com,1
Facebook Meta,Cisco Systems,0
General Electric,Wall Street,0
Blue Origin,YouTube Videos,0
McKinsey & Company,McKinsey & Company,1
Airbnb,NASA,0
YouTube Videos,YouTube Videos,1
Blue Origin,Boston Consulting Group,0
Raytheon Technologies,Raytheon Technologies,1
Deloitte Consulting,Accenture,0
Twitter,Twitter,1
Google LLC,Citibank,0
Massachusetts Institute of Technology,Massachusetts Institute of Technology,1
Raytheon Technologies,Boston Consulting Group,0
Google LLC,John Smith,0
Facebook Meta,Twitter,0
Netflix Streaming,Oracle Corporation,0
Facebook Meta,Facebook Meta,1
Microsoft Corporation,YouTube Videos,0
Boston Consulting Group,Accenture,0
AMD Inc,AMD Inc,1
NASA,NASA,1
Airbnb,Adobe Systems,0
Samsung Electronics,Samsung Electronics,1
Microsoft Corporation,Airbnb,0
Jane Doe,Jane Doe,1
Elon Musk,Elon Musk,1
Space Exploration Technologies,Siemens,0
Moderna Inc,Moderna Inc,1
Raytheon Technologies,Raytheon Technologies,1
Tesla Motors,Oracle Corporation,0
Blue Origin,Blue Origin,1
Twitter,Johnson & Johnson,0
Adobe Systems,Adobe Systems,1
McKinsey & Company,Boston Dynamics,0
Lyft Inc,Wall Street,0
Twitter,Twitter,1
Oracle Corporation,Microsoft Corporation,0
Uber Technologies,Johnson & Johnson,0
Deloitte Consulting,Massachusetts Institute of Technology,0
NASA,NASA,1
Goldman Sachs,General Electric,0
Cisco Systems,Cisco Systems,1
Tesla Motors,Tesla Motors,1
Berkshire Hathaway,Snapchat,0
Harvard University,Twitter,0
General Electric,Accenture,0
YouTube Videos,YouTube Videos,1
Accenture,Accenture,1
Elon Musk,Elon Musk,1
Accenture,Accenture,1
California Institute of Technology,California Institute of Technology,1
Johnson & Johnson,Samsung Electronics,0
California Institute of Technology,California Institute of Technology,1
Cisco Systems,Cisco Systems,1
Citibank,Citibank,1
Uber Technologies,Raytheon Technologies,0
Siemens,Siemens,1
Twitter,Accenture,0
Moderna Inc,Moderna Inc,1
Accenture,John Smith,0
Harvard University,Harvard University,1
Apple Inc,Apple Inc,1
Lockheed Martin,Microsoft Corporation,0
Tesla Energy,Tesla Motors,0
Cisco Systems,Cisco Systems,1
Netflix Streaming,Netflix Streaming,1
SpaceX,SpaceX,1
John Smith,John Smith,1
New York City,New York City,1
Netflix Streaming,Netflix Streaming,1
Boston Dynamics,Spotify,0
Twitter,Goldman Sachs,0
Oracle Corporation,General Electric,0
Spotify,Spotify,1
Cisco Systems,Cisco Systems,1
General Electric,General Electric,1
Wall Street,Apple Inc,0
Tesla Energy,Wall Street,0
Moderna Inc,Berkshire Hathaway,0
AMD Inc,AMD Inc,1
Lyft Inc,Wall Street,0
Pfizer Pharmaceuticals,Pfizer Pharmaceuticals,1
Blue Origin,Uber Technologies,0
Spotify,Spotify,1
Netflix Streaming,Netflix Streaming,1
Lyft Inc,Lyft Inc,1
Raytheon Technologies,Raytheon Technologies,1
Oracle Corporation,Massachusetts Institute of Technology,0
Raytheon Technologies,Raytheon Technologies,1
Uber Technologies,Uber Technologies,1
Goldman Sachs,Goldman Sachs,1
Airbnb,Airbnb,1
Harvard University,Harvard University,1
Morgan Stanley,Morgan Stanley,1
Lockheed Martin,Berkshire Hathaway,0
Intel Corporation,Intel Corporation,1
Boston Consulting Group,Massachusetts Institute of Technology,0
Raytheon Technologies,Space Exploration Technologies,0
Airbnb,Airbnb,1
Accenture,Accenture,1
Accenture,Google LLC,0
Netflix Streaming,California Institute of Technology,0
McKinsey & Company,JP Morgan Chase,0
Uber Technologies,YouTube Videos,0
Blue Origin,Blue Origin,1
Netflix Streaming,Intel Corporation,0
Intel Corporation,Microsoft Corporation,0
Airbnb,Airbnb,1
Jane Doe,Jane Doe,1
AMD Inc,AMD Inc,1
Adobe Systems,Adobe Systems,1
Morgan Stanley,NASA,0
International Business Machines,YouTube Videos,0
Lyft Inc,Lyft Inc,1
Wall Street,Boeing,0
Facebook Meta,Facebook Meta,1
Facebook Meta,Space Exploration Technologies,0
Elon Musk,Elon Musk,1
Lyft Inc,Accenture,0
Lyft Inc,Microsoft Corporation,0
Oracle Corporation,Berkshire Hathaway,0
Citibank,Microsoft Corporation,0
Amazon.com,AMD Inc,0
Blue Origin,Blue Origin,1
Lockheed Martin,Johnson & Johnson,0
Intel Corporation,Intel Corporation,1
